CountryName,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
Aruba,0.0,0.0,1.0,0.75,0.0,0.33,0.0,0.25,1.0,0.67,0.5,0.75
Afghanistan,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.0,0.5,0.75
Angola,0.67,0.67,0.5,0.75,0.5,0.33,0.5,1.0,1.0,0.67,0.0,0.75
Albania,0.67,0.33,1.0,1.0,0.0,0.67,0.0,0.75,1.0,0.67,1.0,1.0
Andorra,0.33,0.67,1.0,1.0,0.5,0.0,0.0,0.25,1.0,1.0,1.0,0.75
United Arab Emirates,0.0,0.33,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.75
Argentina,1.0,0.67,1.0,1.0,1.0,0.67,1.0,0.75,1.0,0.67,1.0,0.75
Australia,0.33,0.33,0.5,1.0,0.5,0.0,1.0,0.75,1.0,0.67,1.0,0.5
Austria,1.0,1.0,1.0,1.0,0.5,0.67,0.5,0.75,1.0,0.67,1.0,0.75
Azerbaijan,1.0,1.0,1.0,1.0,0.5,0.67,1.0,0.0,0.0,0.0,0.0,1.0
Burundi,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.33,0.5,0.25
Belgium,0.33,0.67,1.0,1.0,0.0,0.67,0.0,0.75,1.0,0.67,1.0,0.75
Benin,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.25,1.0,0.33,1.0,1.0
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,1.0,0.75
Bangladesh,1.0,1.0,1.0,1.0,1.0,0.67,1.0,0.75,1.0,0.67,0.5,1.0
Bulgaria,0.67,0.67,1.0,0.75,0.0,0.0,0.0,0.75,1.0,0.33,1.0,0.75
Bahrain,0.33,0.67,1.0,1.0,0.0,0.33,0.0,0.25,1.0,1.0,1.0,0.0
Bahamas,1.0,0.67,1.0,1.0,0.5,0.67,1.0,0.25,1.0,0.33,1.0,0.75
Bosnia and Herzegovina,0.33,0.67,0.5,0.75,0.0,0.67,0.0,0.25,1.0,0.67,0.0,0.75
Belarus,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75
Belize,1.0,0.67,1.0,1.0,0.5,0.33,1.0,0.25,1.0,0.67,1.0,0.75
Bermuda,0.33,0.67,1.0,1.0,0.0,0.67,0.0,0.5,1.0,1.0,1.0,0.5
Bolivia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.33,0.5,1.0
Brazil,1.0,1.0,1.0,1.0,1.0,0.67,1.0,0.25,1.0,0.33,1.0,1.0
Barbados,0.33,0.33,1.0,1.0,0.5,0.67,0.0,0.5,1.0,0.67,1.0,0.5
Brunei,0.33,0.33,0.5,0.5,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.5
Bhutan,1.0,1.0,1.0,1.0,1.0,0.67,1.0,0.75,1.0,0.67,1.0,1.0
Botswana,0.33,0.33,0.5,0.75,0.0,0.67,1.0,0.25,1.0,0.67,1.0,1.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.33,0.0,0.5
Canada,1.0,1.0,1.0,1.0,0.5,0.67,1.0,1.0,1.0,0.67,0.5,0.75
Switzerland,0.67,0.67,1.0,1.0,0.0,0.33,0.0,0.75,1.0,0.67,1.0,0.75
